X,Y,OBJECTID,GIS_ID,GIS_FeatureKey,ShortName,Address,SchoolsType,SchoolBoards,SchoolTypes,LastEditDate,BeforeAndAfterSchoolProgram,ChildCareCentre
474026.2593,4758403,2640,117,St. Paul Catholic School,St. Paul,1090 Guildwood Blvd,Catholic Elementary,London District Catholic School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
484897.1492,4760206,2641,118,St. Pius X Catholic School,St. Pius X,255 Vancouver St,Catholic Elementary,London District Catholic School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
483214.8899,4756987,2642,120,St. Sebastian Catholic School,St. Sebastian,225 Cairn St,Catholic Elementary,London District Catholic School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
472325.6209,4755138,2643,121,St. Theresa Catholic School,St. Theresa,108 Fairlane Ave,Catholic Elementary,London District Catholic School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
476413.9798,4760729,2644,122,St. Thomas More Catholic School,St. Thomas More,18 Wychwood Pk,Catholic Elementary,London District Catholic School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
480489.9107,4753915,2645,123,Sir Arthur Carty Catholic School,Sir Arthur Carty,1655 Ernest Ave,Catholic Elementary,London District Catholic School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
476235.0792,4764365,2646,124,St. Catherine of Siena Catholic School,St. Catherine of Siena,2140 Quarrier Rd,Catholic Elementary,London District Catholic School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
480275.2308,4766005,2647,125,Stoney Creek Public School,Stoney Creek,1335 Nicole Ave,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
473218.2875,4762543,2648,126,St. André Bessette Catholic Secondary School,St. André Bessette,2727 Tokala Trail,Catholic Secondary,London District Catholic School Board,Secondary,2015/06/15 00:00:00+00,,
482066.845,4757711,2649,127,G.A. Wheable Adult Education Centre,G.A. Wheable,70 Jacqueline St,Public Adult Education,Thames Valley District School Board,Adult Education,2016/06/09 00:00:00+00,,
470416.5603,4757464,2650,128,St. Nicholas Catholic School,St. Nicholas,1956 Shore rd,Catholic Elementary,London District Catholic School Board,Elementary,2016/06/09 00:00:00+00,Y,Y
483095.5923,4760266,2651,129,Centre for Lifelong Learning St. Patrick Campus,Centre for Lifelong Learning,1230 King St,Catholic Adult Education,London District Catholic School Board,Adult Education,2016/06/09 00:00:00+00,,
480316.8024,4762771,2652,130,Louise Arbour - French Immersion - Public School,Louise Arbour,365 Belfield St,Public Elementary,Thames Valley District School Board,Elementary - French Immersion,2016/06/09 00:00:00+00,Y,Y
475885.9738,4750470,2653,131,Covenant Christian Private School,Covenant Christian,7 Howard Ave,Private Elementary,Private,Elementary,2018/12/05 00:00:00+00,,
486103.7628,4758049,2655,133,London District Christian Private Secondary School,London District Christian,24 Braesyde Ave,Private Secondary,Private,Secondary,2018/12/05 00:00:00+00,,
478527.6692,4760442,2656,134,London Waldorf Private School,London Waldorf,7 Beaufort St,Private Elementary,Private,Elementary,2022/09/06 00:00:00+00,Y,Y
472439.9634,4757548,2657,135,Mathews Hall Private School,Mathews Hall,1370 Oxford St W,Private Elementary,Private,Elementary,2018/12/05 00:00:00+00,,
479799.7842,4760336,2658,136,Montessori Academy of London Private School,Montessori Academy of London,711 Waterloo St,Private Elementary / Secondary,Private,Elementary / Secondary,2022/09/06 00:00:00+00,Y,
475081.5545,4753327,2659,137,École élémentaire La Pommeraie - French First Language Public Elementary School,École élémentaire La Pommeraie,3500 Settlement Trail,French Public Elementary,Conseil scolaire Viamonde,Elementary,2017/01/30 00:00:00+00,,Y
486141.4885,4760345,2660,138,London Christian Private School,London Christian,202 Clarke Rd,Private Elementary,Private,Elementary,2018/12/05 00:00:00+00,,
473537.9537,4763615,2661,139,Sir Arthur Currie Public School,Sir Arthur Currie,2435 Buroak Dr,Public Elementary,Thames Valley District School Board,Elementary,2017/10/03 00:00:00+00,Y,Y
482719.9663,4765646,2662,140,Cedar Hollow Public School,Cedar Hollow,1800 Cedarhollow Blvd,Public Elementary,Thames Valley District School Board,Elementary,2017/10/03 00:00:00+00,Y,Y
479227.5101,4757847,2663,141,Infinity School Private,Infinity School,115 Askin St,Private Elementary,Private,Elementary,2022/09/06 00:00:00+00,Y,
483646.619,4756718,2664,142,Adventist Christian School Private,Adventist Christian,805 Shelborne St,Private Elementary,Private,Elementary,2018/12/05 00:00:00+00,,
485476.0489,4760759,2665,143,Al-Taqwa Academy Private School,Al-Taqwa Academy,1837 Churchill Ave,Private Elementary,Private,Elementary,2018/12/05 00:00:00+00,,
485464.9364,4760787,2666,144,Al-Taqwa Academy Private School,Al-Taqwa Academy,1837 Churchill Ave,Private Secondary,Private,Secondary,2018/12/05 00:00:00+00,,
479229.3495,4759035,2667,145,Blyth Academy - London Private School,Blyth Academy - London,441 Ridout St N,Private Secondary,Private,Secondary,2018/12/05 00:00:00+00,,
471799.6616,4756795,2668,146,Byron Woods Montessori Private School,Byron Woods Montessori,1468 Commissioners Rd W,Private Elementary,Private,Elementary,2022/09/06 00:00:00+00,Y,Y
478222.7589,4759124,2669,147,Christian Academy of Western Ontario Private School,Christian Academy of Western Ontario,85 Charles St,Private Elementary,Private,Elementary,2022/09/06 00:00:00+00,Y,
480022.0174,4762360,2670,148,London Community Hebrew Day School Private,London Community Hebrew Day School,536 Huron St,Private Elementary,Private,Elementary,2022/09/06 00:00:00+00,Y,Y
479683.0061,4758886,2671,149,London International Academy Private School,London International Academy,365 Richmond St,Private Secondary,Private,Secondary,2018/12/05 00:00:00+00,,
477943.9184,4759808,2672,150,London Islamic School Private,London Islamic School,151 Oxford St W,Private Elementary,Private,Elementary,2018/12/05 00:00:00+00,,Y
479701.3109,4759915,2673,151,The London School Private,The London School,151 Oxford St W,Private Elementary,Private,Elementary,2018/12/05 00:00:00+00,,
479698.4004,4759922,2674,152,The London School Private,The London School,151 Oxford St W,Private Secondary,Private,Secondary,2018/12/05 00:00:00+00,,
485331.7621,4756178,2929,153,Summerside Public School,Summerside,2541 Meadowgate Blvd,Public Secondary,Thames Valley District School Board,Elementary,2022/09/06 00:00:00+00,,Y
,,,,The Sycamore School,,615 Wellington Street,Private Secondary,Private,Secondary,,,
,,,,Kingsway Academy,,370 Huron St,Private Secondary,Private,Secondary,,,
,,,,Blyth Academy Online,,100 Kellogg Ln,Private Secondary,Private,Secondary,,,
,,,,Infinity School (a Montessori and Acton Academy),,120 Bruce St,Private Elementary,Private,Elementary,,,
,,,,CLI College London Campus,,1490 Richmond St,Private Post Secondary,None,Post Secondary,,,
,,,,"Anderson College of Health, Business and Technology",,303 Richmond St,Private Post Secondary,None,Post Secondary,,,
,,,,triOS College Business Technology Healthcare - London Campus,,520 First St,Private Post Secondary,None,Post Secondary,,,
,,,,AlphaLogic Career College,,920 Commissioners Rd E,Private Post Secondary,None,Post Secondary,,,
,,,,Collège Boréal,,"142 Fullarton St, London",Private Post Secondary,None,Post Secondary,,,
,,,,North American Trade Schools - London,,847 Highbury Ave N,Private Post Secondary,None,Post Secondary,,,
